ZipCode,Start_Lng_Representative,Start_Lat_Representative,Date,DelayFromTypicalTrafficMins,Coordinates
94536-3708,-122.003487,37.559502,2020-01-17,2.0,"(37.559502, -122.003487)"
94536-3708,-122.003487,37.559502,2020-03-26,9.0,"(37.559502, -122.003487)"
94536-3814,-121.994423,37.561314,2017-08-27,13.699999809265137,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2018-02-16,0.3300000131130218,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2018-11-15,0.449999988079071,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-05-03,1.3700000047683716,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-05-15,0.3000000119209289,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-06-05,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-06-10,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-06-12,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-06-26,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-07-26,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-07-29,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-08-01,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-08-02,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-08-15,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-08-22,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-08-29,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-09-03,4.0,"(37.561314, -121.994423)"
94536-3814,-121.994423,37.561314,2019-09-06,8.0,"(37.561314, -121.994423)"
